Indonesia,Simalungun
bermacam,bagei 
bermacam,lanou
bermacam,marhurawang
bermacam,marhurawang 
bermacam-macam;banyak,lanou
bermain,guro 
bermain,marsordam
bermain bola,marbola 
bermain dara,"mardara 
"
bermain judi,martuok 
bermain kartu domino,marlesset 
bermain layangan layap,layang 
bermain serdam,marsordam 
bermalam,marborngin
bermalam,marborngin 
bermatian,"mangkamatei 
"
bermayang,marrudang 
bermenantu laki,"laki 
marhela "
bermimpi,marnipi 
berminggu,marminggu
berminggu,"marminggu 
"
berminyak,marhoping
berminyak,marminak 
bermodal,martunggul
bermodal,martunggul 
bermuara,mangehen
bermuara,mangehen 
bermufakat,"marariharih 
"
bermuka,marbohi
bermuka,marbohi 
bermula,marmula 
bermulut,marbabah
bermulut,marbabah 
bermunculan,marsimulgap 
bermunculan,martimbuk
bermunculan,martimbuk 
bermusuh,mamusuhi 
bernama,margora
bernanah,mandangi 
bernanah,marnanah 
bernapas,marhosah
bernapas,marhosah 
bernaung,linggoh
berniaga,boniaga
berniat,mangilat
berniat jahat,mangilat 
bernyanyi,mardoding 
bernyanyi,marilah
bernyanyi ila,marilah 
berobat,martambar
berobat,martambar 
berobat,marubat
berobat,marubat 
berombak,margilumbang
berombak,margilumbang 
berombak,marumbak 
berombongan,marhulanan
berombongan,marhulanan 
berondong,rondang
berondong jagung,rondang
beronggok,margukgukkon 
berpadi,maromei 
berpagar,marhondor 
berpahat,martuhil 
berpahit,paet 
berpajak,marsohei
berpajak,marsohei 
berpakaian,marpakeian
berpakaian pagut,marpakeian 
berpaku,marpaku 
berpanas,mardejeng
berpanas,milas 
berpanas hati,mardejeng 
berpangkal,marbona
berpangkal,marbona 
berpangkas,marpangkas
berpangkas tukang pangkas,marpangkas 
berpantang,marpantang 
berpantun,marumpasa 
berpanu,marpanou 
berparut,martikas 
berpasangan,marpasangan 
berpasir,marhorsik
berpasir,marhorsik 
berpatahan,mangkatalpok
berpatahan,mangkatalpok 
berpayung,marsaong 
berpegalan,marngayot
berpegang,marsijoloman 
berpegangan,marjoloman 
berpelangi,marhalibitongan
berpelangi,marhalibitongan 
berpeluk,marhopkop
berpeluk,"marhopkop 
"
berpeluk,ropos 
berpelukan,mardahopan 
berpelukan,marhopkopkon
berpelukan,marhopkopkon 
berpelukan,marsirohopan 
berpenyanggah,marhalang
berpenyanggah halangkang,marhalang 
berperahu,marsolu
berperahu,marsolu 
berperang,marporang
berperang,marporang 
berperut,marboltok
berperut,marboltok 
berpesan,marsousou 
berpesta,marpesta 
berpetak,marsupak
berpetak,marsupak 
berpikir,marpingkir
berpikir,"marpingkir 
"
berpilin,halimbang
berpilin,porhan
berpilin- pilin,halimbang
berpimpin,marbobah
berpimpin,marbobah 
berpindah- pindah,hawas
berpinggang,marbinongei
berpinggang,marbinongei 
berpisah,liglig
berpisah dari kawan atau sanak,liglig
berpukul,marsibogbogan
berpukul,marsibogbogan 
berpusing,"maringgot 
"
berputar,humationg
berputar,humationg 
berputar,margeseng 
berputar,margoling 
berputar,marhosing 
berputar,marhusor
berputar,marhusor 
berputar,maruor 
berputar,modong
berputar,ordong
berputaran,pargesengan
berputar-putar,humationg
berputik,mutik
berputik; ,mutik
bersalah,marpipol 
bersalah,marsalah
bersalah,marsalah 
bersama,banjar
bersama,rap
bersama,rongkon
bersama,rup
bersamaan,tapang
bersama-sama,rap
bersama-sama,rup
bersama-sama berladang,banjar
bersampah,martompoh
bersampah,martompoh 
bersampan,marsampan 
bersandal,marsolop
bersandal,marsolop 
bersantan,marsantan
bersantan santik,marsantan 
bersarung,marsarung
bersarung sapsap,marsarung 
bersatu,marsada 
bersedekah,marsilayaklayak
bersedih,marpusok 
bersedih,pusok uhur  
bersekolah,marsikolah
berselimut,margobar
berselimut,margobar 
berselimut,marsalimut
berselimut,marsalimut 
berselimut,maruhub 
berselimut,marulos 
berselimutkan,"kan 
maruloshon "
berselimutkan,maruloshon
berselisih,maringor
berselisih,maringor 
berselisih jauh,taldou
bersem,sompit 
bersemak,marporon
bersembah,marsombah 
bersembunyi,marmuni
bersembunyi,marmuni 
bersemut,marporkis
bersemut,marporkis 
bersenam,marsonam
bersenam,marsonam 
bersenapan parbodil n penembak,marbodil 
bersengaja,marutus
bersengaja,marutus 
bersenjata,marsinjata 
bersentuhan,dais
bersepak,"marsisipakan 
"
bersepatu,marsipatu
bersepatu,marsipatu 
berserah,marondos 
berserak,abur
berserak,ampar
berserak,berag
berserak,galampar
berserak,hampar
berserak,lagas
berserak,mampar
berserak,martartar
berserak,martartar 
berserakan,abur 
berserakan,eor
berserakan,maraburan 
berserakan,sangei
berserak-serak,berag
berserambi,marsurambih
berserambi,marsurambih 
berserdawa,marterab
berserdawa,"marterab 
"
berseri,linang
berseri,marlina 
berseri (wajah),linang
berseruling,marsulim 
bersetubuh,martetet
bersetubuh,martetet 
bersiap,hebas
bersiap-siap; bergegas; berkemas-kemas,hebas
bersifat suka mengikuti orang lain,pangirikkon 
bersih,borsih
bersih,pakis
bersih,pansing
bersih,uras
bersiku,marsiku 
bersilsilah,"martarombo 
"
bersin,barsi
bersinar,marsinalsal
bersinar,"marsinalsal 
"
bersirih,marpuran 
bersisa,marsisa 
bersisa,marsulei
bersisa,marsulei 
bersisa,martodei
bersisa todei,martodei 
bersisik,marsisik
bersisir,marsurui
bersisir,marsurui 
bersopan,marsupan
bersopan,marsupan 
bersorak,ihe 
bersorak,"marolob 
"
bersuami,amang 
bersuami,marpargotong 
bersuap,"marsisulangan 
"
bersuap,marsulang 
bersuara,margibig 
bersuara,marsora
bersudut,suhi 
bersuka cita,marmalas uhur 
bersuluh,marrigap
bersuluh,marrigap 
bersunat,marsunat
bersunat,marsunat 
bersuntil,marsuntil
bersuntil,marsuntil 
bersyarat,marsarat
bersyarat sareisei,marsarat 
bertaburan,surar
bertaji,martadi
bertaji,martadi 
bertali,martali
bertali tali,martali 
bertambah,ganda
bertambah,martambah
bertambah,martambah 
bertambah pandai,mapandei 
bertambah tinggi,murut
bertambah tinggi; bertambah panjang,murut
bertanam,marsuan 
bertanam,martanom 
bertanam ceng,marsengkeh 
bertanam kacang,marhasang 
bertandang,martandang
bertandang,martandang 
bertanduk,martanduk 
bertangan,martangan 
bertangga,marandar
bertangga,marandar 
bertangga,martangga
bertangga,martangga 
bertangkai,"martampuk 
"
bertangkal,martangkal
bertangkal,"penangkal 
 
martangkal "
bertani,juma 
bertanya,manungkun 
bertapa,martapa
bertapa,martapa 
bertaruh,marsagar 
berteduh,manisio
berteduh,"marlindung 
"
berteduh,marlinggom 
bertelanjang,marsalang 
bertelanjang,martalanjang
bertelanjang,martalanjang 
bertelur,martinaru 
bertelur,martolur 
bertempat,marianan
bertempat,marianan 
bertemu,mardomu 
bertemu,martomu 
bertengkar,marbada
bertengkar,"marsimbat 
"
bertengkar,martungkang 
bertengkar,martungking 
bertengkar,nguh
bertengkar c,marbada 
bertenun,martonun 
bertepuk,"martopap 
"
berternak kerbau,"marhorbou 
"
bertetesan,mangkatektek
bertetesan,mangkatektek 
bertiang,martiang 
bertiduran,makkamodom
bertiduran,makkamodom 
bertiduran,marsimodoman
bertiduran parmodom n penidur,marsimodoman 
bertikam,"marsitobakan 
"
bertikar,maramak
bertikar,maramak 
bertikar,marapei
bertikar,marapei 
bertindih,paagil 
bertinju,martenju 
bertiup,marsompul 
bertobat,martobat
bertobat,martobat 
bertongkat,martungkot 
bertopeng topong,martoping 
bertopi,martangkuluk 
bertuah,mogah
bertualang ke,iapiap
bertualang ke sana ke mari,iapiap
bertubuh,marangkula
bertubuh,marangkula 
bertuhan,"Tuhan  
marnaibatahon "
bertuhan,marnaibata
bertuhan,marnaibata 
bertuhan,marnaibatahon
bertuhan,martuhan
bertuhan,martuhan 
bertukang,martuhang 
bertukar,linsei
bertukar,marlinsei
bertukar,marlinsei 
bertukar,martuhar
bertukar,martuhar 
bertukar barang,marlibey 
bertukar barang kol,"kokangokangan 
a 
tukar 
tukaran barang  
marokang "
bertukar; ,linsei
bertulang,holi 
bertumba,mangkarumbak 
bertumbangan,mardorob 
bertumpuk,gugun
bertumpuk,gugun 
bertunas,marsuli 
bertunas,martumbor 
bertunas,martunas 
bertutup,martungub
bertutup,martungub 
bertutur,martutur 
beruang,gipul
beruang,marduit 
beruang gipo [gipO] a hemat gira → girah,gipul
berubah,alih
berubah,marubah 
berubah,mubah
berubah menjadi,salih
beruban,maruban
beruban,maruban 
beruban,ubanon
beruban,ubanon 
berujung,marujung
berujung,marujung 
beruk,bodat
beruk,buran
berulang,"manihiti 
"
berulang,martambari
berulang,martambari 
berumah,marhajabuon
berumah,marjabu
berumah,marjabu 
berumah,marrumah 
berumah tangga,"marhajabuon 
"
berumahkan,marjabuon
berumahkan sajabu num serumah,marjabuon 
berumpama,marumpama 
berumput,marpoyon
berumput,marpoyon 
berumur,marumur 
beruntung,diatei
beruntung,marlaba
beruntung,marlaba 
beruntung,martuah
beruntung,martuah 
berupah,marupah
berupah,marupah 
berurat,marurat 
berusaha melepas,guas
berusaha melepas- kan diri,guas
berutang,marteres
berutang,marteres 
berwibawa,"marjombut 
"
berzina,marbangkis
berzina,"marbangkis 
"
besan,bajo
besan,besan
besan bajoh [bajOh] n bisul bajor [bajOr] a miskin,bajo
besar,bangar
besar,banggal
besar,bolon
besar,bongoh
besar,galto
besar,tahar
besar (tentang lubang),tahar
besar dan tinggi,dulas
besar pendek,jogoh
besar pendek,jongok
besar; luas,bolon
besi,bosi
besok,patar
besok,sogod
beterbangan,marhabangan
beterbangan,marhabangan 
beternak,"marpahan 
"
betina,boru
betis,bitis
betul,botul
betul,poldut
biak,gargar
biak,gompar
biak;  biak; berketurunan,gargar
biang keringat,panas
biar,age
biar,agena
biar,longa
biar age ma au laho mi biarlah aku yang pergi,age
biarkan,ginang
biarkan,ginong
biarkan,paturut
biarkan saja,gelah
biarkan saja; ,gelah
biarlah,ageni
biarlah,gembit
biasa,somal
biawak,lobar
bibir,bibir
bibit,gobgob
bibit,tampang
bibit talas,gobgoban
bicara,hitei
bidak,bidak
bidik,pitak
bidikan,enet
bidikan (nyaris mengenai sasaran),enet
bijak,bijak
bijak,lisak
bijak,toal
biji,batu
biji,hamata
biji buah yang dapat,lunci
"biji buah yang dapat dimakan, misalnya biji buah nangka, cempedak, durian, dan lain-lain",lunci
"biji; sangkamata	num	sebiji",hamata
bilamana,antigau
bilik,bilik
bimbang,ganggu
bimbing,marsitoguan
bimbing,togu
bimbing,"tuntun 
marsitoguan "
binasa,tumpur
binatang,binantang
binatang,binsusur
binatang,bintutur
binatang,hulihap
binatang,pinahan
binatang berkaki,murik
binatang berkaki empat yang berkembang biak dengan cara melahirkan,murik
binatang liar yang,ayam
binatang liar yang dipelihara,ayam
binatang penyengat,gocam
binatang sejenis biawak,binsusur
binatang sejenis kangguru,bintutur
binatang sejenis ulat,onsit
binatang sejenis ulat kecil yang memakan sayur- sayuran,onsit
binatang terikat,ortong
binatang terikat yang berusaha melepaskan ikatannya,ortong
bingkai,batokan
bingkai,bingke
bingkai,dohot
bintang,bintang
bintik,huridi
bintik,ronggot
bintik putih yang,palou
bintik putih yang tumbuh di mata dan menye- babkan mata kabur atau buta,palou
bintik-bintik (warna ayam),huridi
biru,honda
bisa,bisa
bisa,boi
bisa (racun),bisa
bisa melihat sesuatu yang gaib,parnidahan 
bisik,husip
bising,biting
bising,gebeg
bisu,longah
bisul,bajoh
bisul,bayoh
bocor,gajar
bocor,luas
bocor,tiris
bodoh,balugup
bodoh,begong
bodoh,bonggam
bodoh,jijing
bodoh,jojong
bodoh,lontong
bodoh,oto
bodoh: aras ni uhur bodoh,aras
boikot,hampas
boikot; ,hampas
bola,bola
bolak,didas
bolak-balik,didas
boleh,malo
boleh; diizinkan; tidak dilarang,malo
"boleh;	di- benarkan",bulih
bongkahan,galmok
bongkahan tanah yg bulat,galmok
bongkar,bungkar
bongkar,rongkat
bongkar,sungkei
bopeng,turik
bor,pungkor
borgol,gari
boros,loyar
boros,sayak
boros,ular
bosan,haor
bosan,jolak
bosan,losog
bosan,sobal
bosan,sopal
bosan mendengar,ngimngir
botol,botol
buah,bangkudu
buah,bogar
buah,boras
buah,buah
buah,kibul
buah,maposo
buah,pisak
buah,poso
buah,rayung
buah bacang,ambasang
buah delima,delima
buah jengkol,jobang
buah jengkol yang sudah berkecambah,jobang
buah kandis,handis
buah pala,pala
buah peria,paria
buah pertama; bungaran,limbuah
buah ram- butan,rambutan
buah tangan,luah
buah tangan; oleh- oleh,luah
buah yang sudah tua tetapi belum masak,maposo 
buah; ,boras
buah; biji buah; butir buah yang kecil-kecil (seperti butir padi dan jagung),kibul
buah-buahan,bogar
buah-buahan yang tergantung,rayung
bual; membual; besar mulut,orngak
buang,allokkon
buang,ambung
buang,buang
buang,mallok
buang air,moyoh
buang air besar,martois 
buang; ,mallok
buangan,buangan
buangan,buangan 
buangkan,ambunghon
buangkan,ambunghon 
buangkan,mallokkon
buangkan,mallokkon 
buat,bahen
buat,tombei
buat; lakukan,bahen
buaya,buaya
bubu,bubu
bubuk,ombuk
bubung,bungkulan
bubur,burbur
bubur,harei
buih,lumoh
buih,ugup
bujuk,anju
bujuk,elek
bujuk,hesek
bujuk,ipuk
bujuk,ojur
bujuk,pujuk
bujuk rayu,unggun
"bujuk; manghesek		v	membujuk",hesek
bujukan,ojuran
bujukan,ojuran 
buka,buha
buka,ungkap
bukan,lang
bukan,nada
bukan,sedo
bukan,song
bukit,buhit
bukit,buntu
bukit barisan,urung
bulan,bulan
bulan,lingkar
bulan,sipaha
bulan ,lingkar
bulat,balging
bulat,buta
bulat,gemong
bulat,gepong
bulat,gopong
bulat,hemong
bulat,lemong
bulat,pulur
bulat,remes
bulat kecil,genong
bulat tanpa berlubang-lubang,remes
bulatan,hagemongon 
bulir padi yang,mapap
bulir padi yang hampa,mapap
bulu,ambulu
bulu,jangot
bulu ekor kuda,rabis
bulu landak,lundu
bulu roma,taruitui
buluh,lampon
buluh; bambu; aur,lampon
bumbung,hidingan
bumbung tempat tuak,hidingan
buncit,leneng
bundaran,halouhou
bunga,bunga
bunga,lampudung
bunga mawar,molur
bunga padi,runsang
bunga padi yang mekar,runsang
bunga petai,lampudung
bunga pinang arekelapa atau sebangsa pohopalem,mayang
bungkuk,gumuk
bungkuk,gundang
bungkuk,lenduk
bungkuk,sanduhu
bungkuk sabut,sanduhu
bungkuk sedikit,dengat
bungkus,balut
bungkus,bungkus
bungkus,hopol
bungkus,tumtum
bungkus; ,hopol
bungkusan yang,puntal
bungkusan yang menggelembung,puntal
bunting,rindih
buntu,jut
bunuh,benuh
bunuh,bunuh
bunyi,bop
bunyi,dajar
bunyi,dengek
bunyi,gojog
bunyi,goro
bunyi,jap
bunyi (suara sekop ketika mengorek tanah),jap
bunyi bedil,datob
bunyi benda yang,nger
bunyi benda yang terpelanting,nger
bunyi dedaunan,daras
bunyi dedaunan kering yang tersentuh,daras
bunyi hujan,hasak
bunyi hujan yang turun ke bumi,hasak
bunyi lenguh,orong
bunyi lenguh (karena sakit),orong
bunyi letusan bedil,datob
bunyi orang melompat ke air,jaur
bunyi pelepah dihembus angin,jar
bunyi petir yang,dotok
bunyi petir yang berulang-ulang,dotok
bunyi piring jatuh,doran
bunyi ranting patah,depek
bunyi semak atau rumput terbakar,lotup
bunyi semak atau rumput yang terbakar,lotup
bunyi suara,dorong
bunyi suara buang,durup
bunyi suara buang air kecil,durup
bunyi suara gong duruk [duru?] v tersungkur,duruk
bunyi suara lidi,dosik
bunyi suara lidi yang ducambukkan,dosik
bunyi suara nyamuk,dorong
bunyi yang keluar dari,eab
bunyi yang keluar dari mulut karena kenyang,eab
buru,buru
buru,simbut
buru-buru,simbut
buruk,buruk
buruk,dorsa
buruk,mumuk
burung,birikbirik
burung,hampilis
burung,langkupa
burung,sibahuei
burung beo,hiung
burung beo; burung tiung,hiung
burung- burung yang biasa bergerombol,birikbirik
burung enggang,onggang
burung hantu,langkupa
burung hantu,sipahuk
burung kecil,binsot
burung kecil,bisbis
burung merbuk,sibahuei
burung murai,bonsala
burung perkutut,giti
burung pipit,dingis
burung puyuh,leto
busa,guboh
busa; buih,guboh
busuk,asik
busuk,basou
busuk,burut
busuk,damuk
"busuk  rusak dan berbau tidak sedap (tentang buah, daging, dan sebagainya)",masik
busuk rusak dan,masik
busung,busung
busur,sior
buta,pitung
buta,rojam
buta sebelah,peltou
buta sebelah mata,peltou
butah,butah
butah (ucapan untuak mengusir babi),butah
butir,butir
butir padi yang luru,lajur
butir padi yang lurus,lajur
buyung,gusi
cabang,tupang
cabang kayu,bangor
cabang kayu,punggur
cabe,lansina
cabik,ribak
cabut,ombik
cabut,orbat
cabut,put
cabut,salungkar
cabut,tompu
cabut,umpat
cabut (mem- bongkar anak pisang untuk ditanam),ombik
cacar,sanggul
cacar,sasar
cacing,goya
cacing,sasing
cacing perut,labilabi
cair,lala
cair,rotas
cairan,lalaon
cak dulu,ondi
cak emoh,ehi
cak maaf,suali
cak molor,mulur
cak pakai,pakei
cak sudahlah,ehe
cakap,gesek
cakap kotor,sapal
cakar,haerhon
cakar,raok
cakar,rarik
cakar untuk mem,sisir
cakar untuk mem- bersihkan sawah,sisir
campak,pistak
campur,aer
campur,agu
campur,binsar
campur,buliga
campur,sampur
campur,saor
campur,sotek
campur,tombur
campur,uram
campur baur,hulimut
campuran,ragum
campuran tuak,raru
campuran untuk membuat tuak,raru
candu,sandu
canggung,haduhat
canggung,jaluk
canggung,tuda
cangkir,garung
cangkir,sangkir
cangkir,sarip
cangkir (dari tempurung kelapa),sarip
cangkul,ombak
cangkul,pangkur
cangkul,sangkul
cangkul kecil,hori
cantik,gandal
cantik,jagiah
cantik,jenges
cantik,laing
cap,tokan
"capah kecil yang digunakan untuk menggiling cabai, dan lain-lain",lagan
capek,torik
capung,siri
cara,jangkit
cara,pangampar
cara,pangampu
cara,panlulus
cara,parhundul
cara,pongkat
cara berdiri,parjongjong
cara duduk,parhundul 
cara masuk,parmasuk 
cara melihat,pangidah
cara memakai kain,sigi
cara memakai kain yang kurang sopan sehingga tampak bagian paha,sigi
cara memangku,parampu
cara memangku orang yang memangku,"pangabingan 
"
cara memasak sagu,sulit
"cara memasak sagu dengan membentuknya seperti bentuk kuali, tipis, lalu dijerangkan di api seperti kue martabak",sulit
cara memperindah sesuatu sehingga menarik,hajenah
cara meng,pangampar 
cara menyadap,pangagad 
cara pandang anak,otute
cara pandang anak yatim piatu ketika melihat anak yang mempunyai orang tua memakan makanan yang enak,otute
cara; jalan,jangkit
cari,daram
cari,dios
cari,jarah
cari,pindah
cari,sari
cari,torih
cat,bolong
cat,sat
cawan,sahan
cecak,boraspati
cecer,peper
cecer; ,peper
cegukan,sosohotan
cekatan,hinsah
cekatan,sigap
cekatan,tirgas
cekatan;lancarrajin;giat,hinsah
cekik,gotol
cekik,pongkik
cekik,songkik
cekung,holbung
cela,risa
celana,pitolon
celana,saluar
celana dalam,singkot
celipar,lupak
celipar  (tempat gambir),lupak
celup,solup
celup,sornob
celup,sosob
cemas,gobir
cemas,gobor
cemburu,itug
cemburu,latei
