Definition,Lemma,Pronunciation,Part of Speech,Sentence Examples and Related Forms
Aceh,asih,asih,Noun,halak asih
busuk,asik,asi?,Adjective,aha na asik ai
cukai,asil,asil,Noun,pemerintah mambuat asil pemerintah mengambil cukai
pantun,askei,askEy,Noun,askei ni halak melayu pantun milik orang melayu
lambat,asok,aso?,Adjective,asok mardalan berjalan lambat
aspal,aspal,aspal,Noun,
tembilang kayu (alat untuk menggali lubang bertangkai panjang),assuan,asuan,Noun,
hasta,asta,asta,Noun,sada asta satu hasta
bantu,astu,astu,Verb,astu inang ai
sanggup,asup,asup,Verb,asup au mambahen jabu aku sanggup membuat rumah
makanan mentah,atah,atah,Noun,
mungkin,atak,ata?,Adverb,atak inang misir hu tiga mamboli dadih mungkin ibu pergi ke pasar membeli susu
atau,atap,atap,Adverb,inang atap amang ibu atau ayah
wangi,atar,atar,Adjective,minak atar
ruang depan,atar,attar,Noun,
atas,atas,atas,Noun,i atas lamari di atas lemari;
begitu,atege,atEgE,Pronoun,atege lobei begitu saja
begitu,atene,atEnE,Pronoun,au hatakon atene aku katakan begitu
tenung,atiha,atiha,Noun,
adv mungkin,atik,ati?,Toba,
kepunyaan,atikan,atikan,Noun,atikan niise sabah ai? kepunyaan siapa sawah itu?
perangkap,atipatip,atippatip,Noun,begu ai masuk atipatip harimau itu masuk perangkap
sampai hati,atok,atO?,Adjective,atok ni ai bakku ia sampai hati benar dia
atur,atur,atur,Verb,
meraung,aucang,awcaG,Verb,begu aucang i harangan harimau itu meraung di hutan
mengaum,aum,aum,Verb,aum ni begu harimau mengaum
timbul tenggelam,aup,aup,Verb,hayu ni aup i bah banggal kayu itu timbul tenggelam di sungai
pinggang,awak,awa?,Noun,awak ni dak danak pinggang anak-anak
bagian kepala anak kecil,awanawan,awan awan,Noun,awanawan bain dakdaknak awan awan ada di kepala
kibas,awas,awas,Verb,awas hon  abit ai kibaskan kain itu
pengembara,awat,awat,Noun,halak awat orang pengembara
derita,awei,awEy,Noun,lang boi mambahen inang mangawei tidak boleh membuat ibu menderita
itu,ay,ayi,Pronoun,
 kejar,ayak,aya?,Verb,ayak hambing ai kejar kambing itu; n 2 ingin: ayak uhur ingin memiliki sesuatu;
guna,ayakan,ayakan,Noun,aha ayakan ho tangis apa guna kau menangis
binatang liar yang dipelihara,ayam,ayam,Noun,
kaleng,ayan,ayan,Noun,buat ayan minak lampu ambil kaleng minyak lampu
melayang,ayap,ayap,Noun,
hidangan,ayapan,ayapan,Noun,ibere hubani ayapan tulang paman disuguhkan hidangan
surat; ayat,ayat,ayat,Noun,mambassa ayat si  tongat tongat membaca surat itu
angkat,ayob,ayOb,Verb,
hanyut,ayup,ayup,Verb,halak ai ayup i bag banggal orang itu hanyut di sungai besar
induk surat ke  (dari surat sapuluh siah),ba,ba,Noun,
mulut,baba,baba,Noun,babah ni baliang mulut anjing; marbabah v bermulut; sangkababah v 1 sesuap;
hantu,babeng,babEG,Noun,
atas,babou,babOw,Noun,i babou ni hayu di atas kayu
babi,babui,babui,Noun,adong babui i harangan ai ada babi di hutan itu
v tengkar,bada,bada,Toba,mambadai v membantah; menyanggah;
sejenis pisau,badik,badi,Noun,
malu,bador,badOr,Adjective,ulang ham mambahen bador jangan kau membuat malu;
dalam;  jauh dari permukaan,bagas,bagas,Adjective,bagas tumang hondot ni juma ai dalam sekali jurang ladangnya;  3 bagian yang di dalam: i bagas pikiron di dalam pikiran;
rumah,bagas,bagas,Noun,
macam,bagei,bagey,Noun,1 jenis; 2
bagi,bagi,bagi,Noun,bagi ma duit ai
bagian,bagian,bagian,Noun,parbagianan	n	ki	nasib (peruntungan)
aren,bagod,bagOd,Noun,adong tubuh bagod i jae pohon aren tumbuh di situ
air,bah,bah,Noun,mangarbahi v mengairi; marbah v berair; tarbahi v terairi;
sungai,bah,bah,Noun,"marulu do bah, marindung do suhat, pb ada hulu sungai ada induk keladi; (orang yang lebih dihormati);"
tabiat,baha,baha,Noun,baha ni songon inangni tabiatnya seperti ibunya
mulut,bahah,bahah,Noun,
jalan setapak yang biasa dilalui manusia sehingga rumput-rumput di jalan tersebut mati,bahal,bahal,Noun,bahal ni halak jalan biasa dilalui orang
larang,bahang,bahaG,Verb,bahang lobe anak ai larang dulu anak itu
nama sungai,bahapal,bahapal,Noun,Bahapal goran ni bah na marulu hun Dolok Simbolon Bahapal nama sungai yang hulunya ke Dolok Simbolon
gali,bahar,bahar,Verb,bahar tano ai
banyak,bahat,bahat,Adjective,
buat; lakukan,bahen,baEn,Verb,aha na i bahen ni apa yang telah diperbuatnya;
putar,bahing,bahiG,Verb,bahing lobei lereng on sepeda itu putar dulu arahnya
tegap,bahod,bahOt,Adjective,bahot tumang pamatang ni tubuhnya sangat tegap
perut anak,bahul,bahul,Noun,borit bahul ni dakdanai ai perut anak itu sakit
mulia,bahuta,bahuta,Adjective,
 untuk,bai,bai,Particle,
suara bedil,baig,baig,Noun,"tab, tub baig ni bodil tab, tub suara bedil"
pandan,baion,bayiOn,Noun,
suara petir,bair,bEir,Noun,bahat sora ni beir nantuari  suara petir terdengar kuat tadi malam
bangkit,bait,bait,Verb,bait ahu aku bangkit
waja,baja,baja,Noun,bosi baja besi waja
kaya,bajak,baja?,Adjective,
nama daerah,bajalinggei,bajaliggE,Noun,au roh hun Bajalinggei aku datang dari Bajalinggei
pasung,bajang,bajaG,Noun,
kambing bandot;,bajar,bajar,Noun,adong do bajar i juma kambing jantan ada di ladang
semacam dun seledri,bajaronggi,bajarOGgi,Noun,bajaronggi tubuh i paya paya daun bajaronggi tumbuh di payapaya
besan bajoh [bajOh] n bisul bajor [bajOr] a miskin,bajo,bajO,Noun,
nama sejenis kayu,bajor,bajOr,Noun,
takut; ngeri baju [baju] n baju,bajoraon,bajOraOn,Adjective,si Japorman mamboli baju si Japorman
anyam,baju,baju,Verb,
telur yang tidak bisa menjadi anak (busuk),bajukan,bajukan,Noun,tolor ni dayok na bajukan marbau tumang telur ayam yang busuk sangat bau
tempat sirih,bajut,bajut,Noun,
air enau,bak,ba?,Noun,
tembakau,bakal,bakal,Noun,bulung- bulung na somal ibahen halak bahen bakal daun-daun itu biasa digunakan orang untuk jadi tembakau
sudah tua,bakarasan,bakarasan,Adjective,bakarasan anak boru ai anak perempuan itu sudah tua
,bangkuang,bakkuwaG,Noun,
musibah,bala,bala,Noun,nagori ai hona bala kampung itu kena bencana
sejenis lebah,balaborngin,balabOrGin,Noun,
bekas batas ladang,balameha,balamEha,Noun,
belalang,balang,balaG,Noun,balang na gorsing belalang yang kuning
belanga; kuali besar,balanga,balaGa,Noun,manloppah gulei ahu i balanga saya memasak gulai di belanga;
balas,balas,balas,Verb,ibalas v dibalas; mambalas v membalas;
pukul,balbal,balbal,Verb,balbal lobei baliang ai pukul dulu anjing itu;
kijang,balding,baldiG,Noun,
balai,balei,balEy,Noun,balei ianan ni tamui ai balai disesiakan untuk menerima tamu
bulat,balging,balgiG,Adjective,
luka parah,balhap,balhap,Noun,
lunas,bali,bali,Noun,anggo bali utang ni sudah lunas hutangnya
anjing,baliang,baliang,Noun,parbaliangan n tempat anjing mencari binatang buruan
pengkar baliga [baliga] n perkakas tenun balik [bali?] v balik,balibison,balibisOn,Adjective,
sejenis kayu,balikangin,balikaGin,Noun,
pergi balik,balikulak,balikula?,Verb,balikulak au leng hu rumah aku pergi balik ke rumah
bentuk yang tidak simetris,baling,baliG,Adjective,
putar,baling,baliG,Adjective,
belimbing,balimbing,balibbiG,Noun,
gelisah,balinsah,balissah,Adjective,
sejenis kapak yang matanya dapat diputar balobas	[balObas]	n	belebas,baliung,baliuG,Noun,
batas,balog,balOg,Noun,balog ni juma batas ladang;
jawab,balos,balOs,Verb,
tangga,baltuk,baltu?,Noun,mambahen baltuk tulang i pudi paman membuat tangga di belakang
janda (ditinggalkan oleh suami atau istri karena salah seorang meninggal dunia),balu,balu,Noun,
kijang,balua,baluwa,Noun,
sejenis pandan unatuk membuaat tempat sirih,baluam,baluwam,Noun,inang mangalop baluam ibu mengambil baluam
jurang yang dalam,balubu,balubu,Noun,ulang dohori balubu jangan dekati jurang itu
bodoh,balugup,balugup,Adjective,
tempat air terbuat dari bambu,baluhat,baluhat,Noun,mangalop bah pakon baluhat kaka kaka mengambil air pakai baluhat
sejenis pohon palem tetapi tidak berduri,baluhur,baluhur,Noun,adong tubuh baluhur i balos juma ada tumbuh pohon baluhur di batas ladang
lutut,baluju,baluju,Noun,maborit tumang baluju au lututku sakit sekali
tulang kering,baluyu,baluyut,Noun,
bungkus,balut,balut,Noun,
pada tuan,bamu,bamu,Noun,mamboli au lereng bamu ai aku membeli sepeda pada tuan
tetap,ban,ban,Noun,banhon uhurmu
ia (orang yang dibicarakan),bana,bana,Pronoun,lape ongga bana juppa hotang marduri dia belum pernah melihat rotan berduri
sejenis tumbuhan untuk membuat atap,banban,babban,Noun,
nama kampung,bandar,badnar,Noun,bandar goran ni sada huta i Pamatang Siantar Bandar  nama sebuah kampung di pematang Siantar
orang  yang menjadi bandar dalam judi,bandaran,bandaran,Noun,bandaran  maningon bahat duit menjadi bandar harus banyak duit
lambat,bandat,baddat,Adjective,bandat tumang dakdanak ai anak-anak itu sangat lamban
sejenis tumbuhan pakis,bandir,baddir,Noun,poso-poso ni bandir i giling bahen tambar borit binongei pakis muda digiling untuk obat sakit pinggang
majal (tumpul),bandul,baddul,Adjective,
sejenis rumput yang tumbuh di batu baneipora [banipOra] n sejenis,baneibatu,banEbatu,Noun,
tidak sopan bangal [baGal] a tidak terajar bangar   [baGar]   a   besar,bangak,baGa?,Adjective,lobih
robek,bangbang,baGbaG,Adjective,ma bangbang bajuni bajunya robek banggal [baggal] a besar: hayu na
demam,banggor,baGgOr,Adjective,
tidak sampai hati,bangkang,bakkaG,Verb,bangkang do au mangusir halaki ai aku tidak sampai hati mengusir orang itu
bangkai,bangkei,bakkEy,Noun,marbau tumang bangkei i bangkai itu sangat bau
apalagi,bangkin,bakkin,Pronoun,"na marduit pe seng ra manolong, bangkin na ma sombuh ma yang banyak uangpun  tidak bisa menolong, apalagi orang miskin"
belahan kayu yang kecil,bangkir,bakkir,Noun,
zina; marbangkis	v	berzina,bangkis,bakkis,Noun,mardusa	halak marbangkis orang berdosa kalau berzina
angkat; ipabangkit	v	diangkat,bangkit,baGkit,Verb,ipabangkit gabe raja diangkat menjadi raja
berkeliling,bangkou,bakkOw,Verb,bangkou do halak hunaul laho mangan orang-orang makan duduk berkeliling;
sejenis belalang,bangkuya,bakkuya,Noun,
bangsa,bangsa,baGsa,Noun,
pantang,bangua,baGua,Noun,bangua do mangan dayo sadari on
pada,bani,bani,Particle,bani sada panorang pada suatu ketika banitan [banitan] n nama sejenis
bersama-sama berladang,banjar,bajjar,Verb,
tidak teratur,banrag,barrag,Verb,
lepas dari bahaya,bansah,bassah,Verb,
pijak,bansal,bassal,Verb,
pada kita,banta,batta,Noun,adong banta omei lima goni ada padi lima goni pada kita
gantang (alat untuk mengukur),bantai,bantay,Noun,
bakul,bantei,bantEy,Noun,tolu bantei bahatni banyaknya tiga bakul
luka kena goresan baoh [baOh] n bambu muda yang dibelah tipis untuk membuat,banus,banus,Noun,
gagang jerat,baor,baOr,Noun,
bapak,bapa,bapa,Noun,ise goran ni bapa mu? siapa nama  ayahmu?;
tampar,bapbap,bapbap,Verb,ulang bapbap panangko ai jangan tampar pencuri itu;
suara benda jatuh,bar,bar,Noun,tartangihon sora bar i jae terdengar suara benda jatuh di situ
bahu,barabara,barabara,Noun,i pokpok halak barabarana bahunya dipukul orang
lumbung,baradang,baradaG,Noun,
babi hutan jantan,baragas,baragas,Noun,
sejenis burung,baragi,baragi,Noun,
dekat; hapir tiba (waktunya),barah,bara,Adjective,barah ma das idea roh mereka dating sebentar lagi
akan,barah,barah,Adverb,
badak,barak,bara?,Noun,
ramah,barasbas,barabas,Adjective,
persembahan untuk mahluk halus,barean,barEyan,Noun,barean sada dayok si lopah satu ayam putih untuk persembahan
tampaknya,bareibe,barEybE,Adverb,bareibe songon na manggila tampaknya seperti marah
paduan warna hitam dan merah tua pada ayam bariang  [bariaG]  n  ikat erat-erat,barha,barha,Noun,
pohon beringin,baringin,bariGin,Noun,manroboh hayu baringin bapa i juma ayah menebang pohon beringin di ladang
ikat,baringka,barikka,Noun,baringka soban ai ikat kayu api itu
baris,baris,baris,Verb,
berita,barita,barita,Noun,
kudis,baro,barO,Noun,
kasar,barsang,barsaG,Adjective,timbahou barsang tembakau yang kasar
bersin,barsi,barsi,Verb,ulang marborsi ijon jangan bersin disini
baru,baru,baru,Adjective,baru dope hiomu sarungmu masih baru baruang	[baruaG]	n	beruang:
nama kampung di Dolok Silau,barubei,barubEy,Noun,
batu penindih yang ditenggelamkan ke dalam air agar benda tersebut teng- gelam,barugu,barugu,Noun,
semacam tumbuhan untuk tali,baruh,baruh,Noun,
gondok,barut,barut,Noun,
baca,basa,basa,Verb,basa lobei  buku on baca dulu buku in; mambasa v membaca; mambasahon v membacakan: mambasahon	surat		bani ompung	membacakan	surat untuk nenek;
basah,basah,basah,Adjective,basah  hiou hu kainku basah
kain basahan (kain yang digunakan sebagai penutup tubuh saat mandi),basahan,basahan,Noun,boban basahan bawa kain basahanmu
ramah,basar,basar,Adjective,basar tumang ia sonari ramah sekali ia sekarang:
 libas,basbas,bas   bas,Verb,hantam;
barang yang sudah lama tidak terpakai,basebase,basE basE,Noun,
basi,basi,basi,Adjective,
tiang,basikah,basikkah,Noun,ponggol basikah bagas hanami tiang rumah kami rubuh
busuk,basou,basOw,Adjective,domma basou ambotik on sudah busuk pepaya ini
bantu,bastu,bastu,Verb,bastu ahu mahorja bantu aku bekerja
 basuh,basuh,basuh,Verb,
suku  batak,batak,bata?,Noun,halak batak ahu orang batak aku
pembangkang,batal,batal,Adjective,batal dakadanak ai anak itu pembangkang
,batamagaluni,batamagaluni,Noun,
nama dewa,bataraguru,bataraguru,Noun,
sejenis tepung,batarsiang,batarsiaG,Noun,
batik,batik,bati?,Noun,mahal batik hargani batik mahal harganya
belah,batis,batis,Noun,batis hayu ai
bingkai,batokan,batOkan,Noun,batokan ni anduri bingkai tampah
lengan,batokan,batOkan,Noun,
batas,batos,batOs,Noun,
batu,batu,batu,Noun,poyon tubuh bani batu on rumput itu  tumbuh di batu;
biji,batu,batu,Noun,batu ni untei
timah,batuan,batuan,Noun,mambahen parugas bani batuan membuat perkakas rumah tangga dari timah
batuk,batuk,batu?,Noun,
atur,batur,batur,Verb,batur dayok in bani pinggan atur ayam itu kedalam piring
bau,bau,bau,Noun,bau bangkei bau bangkai;
rempah rempah,baubauan,baubauwan,Noun,
tembolok,bauk,bau?,Noun,marisi omei bauk ni dayok tembolok ayam berisi padi
ikan baung,baung,baOG,Noun,tuhor baung i tiga membeli ikan baung di pekan
bawang (sejenis umbi-umbian),bawang,bawaG,Noun,
rawa,bawang,bawaG,Noun,
panggilan antar perempuan yang sebaya atau kepada yang lebih muda,baya,baya,Noun,
bara,baya,baya,Noun,
kaya,bayak,baya?,Adjective,dob honsi bayak sesudah kaya;
bayam,bayam,bayam,Noun,
bisul,bayoh,bayOh,Noun,
anyam,bayu,bayu,Verb,bayu apei ai anyam dulu tikar itu; mambayu v menganyam
gugup,bebet,bEbEt,Adjective,ulang bebet au jangan gugup kamu begong [bEgOG] a bodoh: begong
harimau,begu,bEgu,Noun,
embik,behek,bEhE?,Noun,tiruan bunyi kambing;
hantu,beheng,bEhEG,Noun,adong beheng i harangan ada hantu di hutan
menari memanggil roh,beibei,bEybEy,Verb,
hamil,bejeg,bEjEg,Verb,domma bejeg sonari dia sudah hamil sekarang
belimbing bengek [beGe?] n penyakit asma benger   [bEGEr] v bengis,belimbing,bElimbiG,Noun,benger
gembung,beniat,bEniat,Verb,beniat boltok ni perutnya gembung bensut [bessut]  v   mau menangis:
bunuh,benuh,bEnuh,Verb,benuh aili ai bunuh anjing hutan itu
liut (tentang pisau),beoh,bEyOh,Adjective,pisou na lomag beoh dob itagilhon pisaunya tidak tajam meliut dipotongkan
peot,beot,bEyOt,Noun,beot bibir ni hudon bibir periuknya peot; ipamambebeot v dipeoti
berserak-serak,berag,bErag,Verb,berag ganuo boras ai beras itu berserak semua
bengar,berang,bEraG,Adjective,
beri,bere,bErE,Verb,
barang (makanan dan sebagainya) yang diberikan sebagai persembahan kepada roh halus,berean,bErEyan,Noun,
percik,bersah,bEssah,Noun,ulang barsah i bah jangan percikkan air itu
besan,besan,bEsan,Noun,domma roh besan hanami besan kami sudah datang;
perut yang gembung karena masuk angin,besseng,bEssEG,Noun,
tabiat,biak,bia?,Noun,domma sonai biak ni sudah tabiatnya begitu
bidak,bidak,bidak,Noun,bidak goran ni buah catur buah catur dinamai bidak
pagar,bidang,bidaG,Noun,bidang ni bagas pagar rumah
hantam,bidas,bidas,Verb,bidas hayu on hantam kayu itu
tepi,biding,bidiG,Noun,adong ma paes i biding bah banggal ada seekor kancil di tepi sungai besar:
suara pukulan,big,big,Noun,
pukul,bigbig,bigbig,Noun,
"tikar lebar, terbuat dari pandan (plastik dsb)",bigou,bigOuw,Noun,bigou pandani tikar pandan
terbuka,biha,biha,Verb,
daging suir,bihbihi,bihbihi,Noun,ibihbihi daging ni hum bani holihlini daging disuir dari dari tulangnya
sumpah,bija,bija,Noun,mambija v menyumpah; pabijahon v penyumpahan
bijak,bijak,bija?,Adjective,"bijakan ma na matei asal ulang laho bani parjudi kebaikan akan mati, jangan pergi berjudi"
tajam,bil,bil,Adjective,
terlihat terang bilalang [bilalaG] n empedal bilang [bilaG] v hitung,bilak,bila?,Adjective,
sesal,bilang,bilaG,Noun,
tahi mata,bilas,bilas,Noun,
menumbuk padi,bilbil,bilbil,Verb,mambilbil lobei ase manaksak menumbuk padi dahulu supaya bisa memasak
hina,bilei,bilEy,Adjective,
luka parah,bilgang,bilgaG,Verb,bilgang tumang ugahni lukanya sangat parah
bilik,bilik,bili?,Noun,adong do bilik i lopou? apakah ada bilik di warung?
kamar tidur,biluk,bilu?,Noun,bilik tempat tidur
sejenis kayu,biluluk,bilulu?,Noun,
tertutup,binang,binaG,Verb,binang hon labah ai tutup pintu itu
sungai,binanga,binaGa,Noun,
binatang,binantang,binattaG,Noun,binantang harangan binatang hutan
bab,bindu,bindu,Noun,bagian isi buku
pinggang,binenge,binEGE,Noun,
jangkrik hutan,bingkarung,bikkaruG,Noun,
berangkat,bingkat,bikkat,Noun,domma bingkat ma bala ai tentara itu sudah berangkat
,bingkawan,bikkawan,Noun,
bingkai,bingke,bikkE,Noun,
manjur,bingking,bikkiG,Adjective,bingking ni tambar obat yang manjur
perangkap,binjara,bijjara,Noun,bahen binjara bodat ai buat dahulu perangkap untuk monyet
runcing,binjung,bijjuG,Adjective,binjung pisou on pisau itu runcing
pinggang,binongei,binOGey,Noun,boritton binongei au aku sakit pinggang;
terbit,binsar,bissar,Verb,habinsaran n tempat terbit matahari
campur,binsar,bissar,Verb,binsar dadih pakon kopi campurlah kopi dengan susu
bagian kemaluan perempuan,binsil,bissil,Noun,
burung kecil,binsot,bissOt,Noun,
binatang sejenis biawak,binsusur,bissusur,Noun,
bintang,bintang,bittaG,Noun,maribu-ribu bintang na i langit beribu-ribu bintang di langit; marbintang v berbintang
sejenis kayu untuk kayu bakar,bintatar,bittatar,Noun,
sepak,bintih,bittih,Noun,
percik,bintur,bittur,Noun,apui pe marbintur api memercik
binatang sejenis kangguru,bintutur,bittutur,Noun,
sejenis keladi,birah,birah,Noun,
burung- burung yang biasa bergerombol,birikbirik,biri?biri?,Noun,
penyakit kulit,biring,biriG,Noun,
hitam,birong,birOG,Noun,baju na birong baju hitam;
percik,birsak,birsa?,Noun,
sejenis tumbuhan berdau lebar,biruh,biruh,Noun,dear do biruh ganti saong laho hu tiga daun biruh baik untuk payung pergi ke pekan
bisa (racun),bisa,bisa,Noun,domma matei bisa ni ulog bisa ularnya sudah mati
ribut; bising,bisang,bisaG,Adjective,bisang tumang ho! ribut sekali kau!
burung kecil,bisbis,bisbis,Noun,etek soramu tumang songon bisbis kecil sekali suaramu seperti burung bisbis
bising,biting,bitiG,Adjective,biting tumang songon baliang na darangon bising sekali seperti anak anjing sedang bermain- main
betis,bitis,bitis,Noun,banggal bitis ni
anak hewan berkaki empat yang baru lahir,bituha,bituha,Noun,
perut; mambituhai v membersihkan perut	hewan	dengan		cara mengeluarkan		isinya,bituha,bituha,Noun,mambituha dengke inang ibu membersihkan perut ikan
bakul,bius,bius,Noun,bius do namin gampil martuah bakul menjadi bertuah
bawa,boan,bOan,Verb,iboan bangkei hertanoman mayat itu dibawa ke pekuburan;
hanyut,boar,bOar,Verb,
pimpin,bobah,bObah,Verb,mambobahon v memimpin; marbobah v berpimpin; pambobahi n pemimpin
bawa,bobai,bObay,Verb,
kulit binatang,bobak,bOba?,Noun,
bawa,boban,bOban,Verb,
banjir,bobang,bObaG,Verb,bobang bah Silou seng tarsaborangi sungai Silou banjir tidak bisa disebarangi
